3
BİR,İKİ,BEŞ|Sayılar
NOHUT,FASULYE,BAKLA,BEZELYE,BÖRÜLCE|Baklagiller
MODEL,PARÇA,PLASTİK,OYUNCAK,MARKA,BLOK|Lego
FÜZE,TOP,RADAR,DONANMA,MUHRİP,KORVET,TERSANE|Savaş gemisi
POLEN,KEDİ,ARI,SÜT,YUMURTA,GLUTEN|Alerjik
KARDEŞİ,PARASI,GRUBU,YAPICI,VERME,BAĞIŞI,HÜCRESİ,KAYBI,TAŞI|Kan ...
AYNA,ATHENA,DUMAN,LAÇİN,MFÖ,VİTAMİN|Müzik gruplarımız
FİKİR,ARABA,ÇORAP,ŞİFRE,HAYATI,YER,KILIK|... değiştirmek
LAMBASI,ORTASI,HAYVANI,ÇOCUĞU,KISITI,ADI|Sokak ...
EKİPMAN,DUMAN,ALMAN,DERMAN,FERMAN,HARMAN,LİMAN,LOJMAN|...man
PASİFİK,ATLAS,HİNT,GÜNEY,ARKTİK|Okyanuslar
RESSAM,ŞARKICI,BESTECİ,AKTÖR,HATTAT,ŞAİR|Sanatçı
AKŞAM,SOZCÜ,GÜNEŞ,TAKVİM,STAR,POSTA,TÜRKİYE|Gazetelerimiz
DEDE,HİLAL,DOLUNAY,MAVİ,UYDU,IŞI,TUTULMA,YENİ,YÖRÜNGE|Ay
SATIR,BIÇAK,PİRZOLA,KIYMA,BONFİLE,KUŞBAŞI,ESNAF|Kasap
JAPONYA,KÜBA,JAMAİKA,İZLANDA,MALTA|Ada ülkeler
BALIK,KALE,BİTKİ,KUM,FİLTRE,ISITICI,LAMBA,DERECE|Akvaryum
YÜZME,HALTER,GÜREŞ,MARATON,KARATE,JUDO,BOKS|Olimpiyat sporları
BUĞDAY,ARPA,MISIR,YULAF,ÇAVDAR,PİRİNÇ|Tahıllar
ÜZÜNTÜ,HÜZÜN,ESEF,DERT,ELEM,KEDER,SIKINTI,SORUN,TASA|Kalp ağrısı
DUVAR,SAVUNMA,SINIR,MOĞOL,TÜRK,UZUN,SALDIRI|Çin seddi
EMZİK,SALLAMA,HİKAYE,NİNNİ,PIŞPIŞ|Çocuğu uyutalım
YENİLGİ,SUÇLAMA,TEKLİF,HEDİYE,ŞART,DURUM|Kabul edilebilir şeyler
MAGAZİN,DERS,EKONOMİ,PARTİ,DESTEK,ERASMUS|... programı
SANAYİ,ÜRETİM,BANT,İŞÇİ,İŞYERİ,SENDİKA|Fabrika
MEZURA,BASKÜL,SAYAÇ,RADAR,KUMPAS,TERAZİ|Ölçme araçları
ÇORAP,PARA,OYUNCAK,KALEM,TERLİK,KEDİ|Koltuğun altından çıkar
GRUP,ONİKİ,SAYI,KALEM,İLKOKUL,YUMURTA|Düzine
TÜRKÇE,ARAPÇA,ALMANCA,RUSÇA,ÇİNCE,YUNANCA,JAPONCA|Dil kursu
SİNEMA,MÜZE,UÇAK,OPERA,TİYATRO,CAMİ,DERS|Telefonları kapatalım!
DELİK,DENİZ,KARA,PETROL,MAKİNE,MATKAP,JEOLOJİ|Sondaj
MANİSA,AYDIN,DENİZLİ,KÜTAHYA,AFYON,MUĞLA,İZMİR|Ege illeri
URFA,TARİH,TAŞ,SEMBOL,MOTİF,ANIT,UNESCO,TAPINAK,GİZEM|Göbeklitepe
SOĞAN,ÜZÜNTÜ,CENAZE,AYRILIK,FİLM,DÜĞÜN,KINA|Ağlatır
STOPER,KALECİ,BEK,LİBERO,FORVET,YEDEK|Futbolda mevkiler
KALP,DAMAR,ARTMAK,DÜŞMEK,DOKTOR,İLAÇ,YAŞLI,KRONİK|Tansiyon
MEVLANA,TANDIR,EVLİYA,TAHIL,ŞEHİR,BÜYÜK,KIRKİKİ|Konya
ÇIĞLIK,SÜRAT,HEYECAN,GERİLİM,KORKU,EĞLENCE|Roller coaster
YARIŞ,ARABA,GEM,SEMER,NAL,BİNMEK,JOKEY,AHIR,KUYRUK|At
TAVŞAN,PİRE,KANGURU,ÇEKİRGE,KURBAĞA|Hop hop, zıp zıp
LÜBNAN,İSRAİL,ÜRDÜN,IRAK,TÜRKİYE,KIBRIS|Suriye'nin komşuları
MAZOR,BENZİN,OTOGAZ,KÖMÜR,ODUN,GAZYAĞI|Yakıt
OYUN,OYUNCAK,GELECEK,KİŞİ,AİLE,GELİŞİM,SAFLIK|Çocuk
ANAHTAR,AĞIR,ABAJUR,AKYUVAR,AKCİĞER,ASANSÖR,AMBAR,AYGIR,AKHİSAR,AKOR|A...R
SAPANCA,VAN,ULUBAT,İZNİK,MANYAS,ACIGÖL|Göllerimiz
EVVEL,KALBUR,ZAMAN,SONSUZA,KADAR,MUTLU|Masal başlangıç & bitişi
ADANA,DÖNER,URFA,CAĞ,BEYTİ,VALİ,TANDIR,ŞİŞ|Canım kebap çekti
SARI,YUMURTA,TAVUK,YAVRU,KÜMES,SEVİMLİ|Civciv
BARINAK,ÜMİT,ATEŞ,AVLANMA,YARDIM,SAL,KORUNMA|Issız bir adada
TİM,MANGA,BÖLÜK,TABUR,ALAY,TUGAY,TÜMEN,ORDU|Askeri birlikler
ÇIRA,ÇALI,ÇIRPI,ODUN,OKSİJEN,KİBRİT,ÇAKMAK|Ateş yakma
ÇİÇEK,BÖCEK,YEŞİL,PİKNİK,KELEBEK,YAĞMUR,YEŞERME,CEMRE|İlkbahar
POTA,SMAÇ,ÜÇLÜK,STEPS,MOLA,FAUL,BLOK,ASİST|Basketbol terimleri
KIRIŞIK,BASTON,BİLGE,EMEKLİ,AKSAKAL,TORUN|Yaşlandım!
PLASTİK,YAĞLI,KURU,PASTEL,SULU,SUBAZLI|Boya çeşitleri
MİNİBÜS,TAŞIT,ULAŞIM,TİCARİ,KÜLTÜR,MAGİRUS|Dolmuş
BAKLAVA,KADAYIF,LOKMA,ŞÖBİYET,TULUMBA,BURMA|Şerbetli tatlılar
ŞARKI,TÜRKÜ,MARŞ,ARYA,SERENAT,SEMFONİ,NİNNİ|Melodi
ÇİZGİLİ,PUANLI,DALGALI,SPİRAL,DAMALI|Patern
SELİM,MEHMET,FATİH,ORHAN,MURAT,MUSTAFA,OSMAN,BAYEZİD|Padişah isimleri
SEVGİ,GENLİK,AİLE,SAĞLIK,SAYGI,GÜVEN,AKIL|Para onu satın alamaz
HABER,KUPON,YALAN,MAKALE,MANŞET,TİRAJ|Gazete
HAYVAN,DOĞA,UZAY,SEYAHAT,PROGRAM,BİLİM|Belgesel
PADİŞAH,KRAL,BARON,PRENS,ŞEHZADE,LORD,ÇAR,SULTAN|Soylu kişiler
ALASKA,RUSYA,NORVEÇ,İZLANDA,KANADA|Soğuk yerler
KALP,ÇIKIK,CAM,KEMİK,PİRİNÇ,NOT,SAÇ|Kırık ...
HUMUSLU,KİREÇLİ,KİLLİ,KUMLU,TAŞLI,TINLI|Toprak
TURNİKE,FLASTER,MAKAS,PAMUK,FENER|İlk yardım çantası
SİYAH,YUMURTA,PAHALI,BALIK,ÇİROZ,HAZAR|Havyar
SÖZLÜK,ATLAS,ROMAN,DİN,ÇOCUK,BİLGİ,ŞİİR|Kitap türleri
BEZELYE,MISIR,BALIK,SALÇA,YAĞ,FASÜLYE,BAMYA|Tenekede olan gıdalar
ELMA,LOLİPOP,AKİDE,JELİBON,LOKUM,DRAJE|Şekerleme
TÜRKİYE,BAHÇELİ,BİRLİK,ANAYASA,HUKUK,ÜLKE,OTORİTE|Devlet
AĞRI,SÜPHAN,ERCİYES,KAÇKAR,ELMADAĞ,NEMRUT,ULUDAĞ|Dağlarımız
İTALYA,İRAN,İZLANDA,İRLANDA,İSRAİL,İSPANYA,İSVEÇ|İ... (ülkeler)
DÖNER,İNŞAAT,KAPORTA,FAYANS,BOYA|... ustası
PATLAMA,KÜL,LAV,MAĞMA,KRATER,JEOLOJİ,DEPREM|Yanardağ
SEÇİM,MATÇ,İDDİA,YARIŞ,LOTO,PİYANGO,KUMAR|Kazandın!
BAŞKAN,BAŞROL,BAŞLIK,BAŞUCU,BAŞKÖŞE,BAŞKASI,BAŞIBOŞ|Baş...
STERLİN,DOLAR,EURO,YEN,YUAN,FRANK|Değerli paralar
YİYECEK,KRİZİ,TELAŞ,MENÜSÜ,BELA,RÜYALAR,TARİFİ|Tatlı ...
YAYLA,DOMATES,İŞKEMBE,SEBZE,MANTAR,BROKOLİ,ŞEHRİYE|Çorba çeşitlerimiz şu şekildedir...
AHIR,TRAKTÖR,ÇİT,ÇİFTÇİ,SABAN,İNEK,TAVUK,SAMAN|Çiftlikte olur
OTOBÜS,KAMYON,TRAKTÖR,TREN,ARABA,JEEP|Kara taşıtları
KIBRIS,RODOS,SİCİLYA,GİRİT,MALTA,KORSİKA|Akdeniz adaları

8
SAYFA,GÜVERCİN,SHOW,EŞYA,YALAN,GELİNLİK,SARAY|Beyaz ...
KIRMIZI,TURUNCU,SARI,YEŞİL,MAVİ,MOR,LACİVERT|Gökkuşağı renkleri
KODU,PULU,KOYMAK,GAZETESİ,KUTUSU,HESABI|Posta ...
KARIN,UZAY,APARTMAN,HAVA,OTORİTE,MERDİVEN,ASANSÖR|... boşluğu
HARF,GÜN,BUHRAN,SELÇUKLU,DEĞİŞİM,BEDEN,İKRAMİYE,BRİTANYA,BOY|Büyük ...
ÖĞRETMEN,HOCA,PROFESÖR,DOÇENT,OKUTMAN,EĞİTMEN|Eğitim verenler
TOPLANTI,SİPARİŞ,PLAN,ABONELİK,ÜYELİK,RANDEVU|İptal edilir
KİLO,YAŞ,NÜFUS,İŞSİZLİK,TRAFİK,FİYATLAR|Sürekli artan şeyler
ALDIRIŞ,İFADE,TELAFİ,İLAN,İPTAL,MÜCADELE,ŞARJ,İADE,SEYAHAT,YOK|... etmek
İTALYA,BREZİLYA,İSPANYA,FRANSA,ALMANYA,ARJANTİN,URUGUAY|Dünya kupası şampiyonları
MERKÜR,VENÜS,MARS,DÜNYA,JÜPİTER,SATÜRN,URANÜS|Gezegenler
KOLTUK,TABURE,SANDALYE,BANK,KANEPE,SIRA|Lütfen oturun
FELSEFE,TARİH,COĞRAFYA,MÜZİK,RESİM,KİMYA,BİYOLOJİ,FİZİK|Ders programı
BREZİLYA,PERU,ŞİLİ,BOLİVYA,AMAZON,URUGUAY,ARJANTİN|Güney Amerika
PİRAMİT,KÜP,KONİ,KÜRE,PRİZMA,SİLİNDİR|3 boyutlu şekiller
ANAHTAR,CÜZDAN,TELEFON,ŞEMSİYE|Bunları sakın unutma
ŞİRKET,BÜTÇE,KARİYER,MAAŞ,GELİR,KAR,FİNANS,OFİS,VERGİ|İş zamanı
MASKESİ,YAĞI,VERME,LAMBASI,ALARMI,SANCISI,TESİSATI,BASINCI|Gaz ...
DUVAK,YÜZÜK,EVET,ÇİÇEK,KUAFÖR,GELİNLİK,ARABA|En mutlu gün
NAİM,SİLKME,KOPARMA,AĞIRLIK,BAR,OLİMPİK,GÜÇ|Halter
HABERLER,BELGESEL,YARIŞMA,DİZİ,SİNEMA,MÜZİK,SPOR|Televizyon programları
ANAHTAR,LASTİK,TELEFON,OYUNCU,PARÇA,SUBAY,KULÜBESİ,PİL,LİSTE|Yedek ...
OTEL,ASANSÖR,AYAKTA,FRANSIZ,DONUP,SAKİN,GENÇ,BAKAYA|İnsanın kaldığı yer/durum vs.
SİL,EKLE,KOPYALA,KES,YAPIŞTIR,DEĞİŞTİR|Metin düzenleme
DİNLENME,YANMA,LOSYON,BRONZ,PLAJ,HAVUZ|Güneş banyosu
TOPLU,ÇENGELLİ,DİKİŞ,ÇUVALDIZ,OLTA,PİKAP,PUSULA,AKREP,ARI|İğne çeşitleri
GENÇLER,AVRUPA,AİLE,BAROLAR,TABİPLER,KULÜPLER|... birliği
KEMİRGEN,KAPAN,MICKEY,VEBA,KLİK|Fare
DÖNÜŞ,ATMA,ATLAMA,BİREYSEL,ÇİFT,SPOR,DANS,KOSTÜM,BUZ|Artistik patinaj
İĞNE,MÜREKKEP,CİLT,DİZAYN,GEÇİCİ,STERİL,HİJYEN,BOYA|Dövme
HEYELAN,DEPREM,TSUNAMİ,ÇIĞ,KASIRGA,YANGIN,YANARDAĞ|Doğal afetler
BÜYÜK,SOVYET,PUTİN,ASYA,MOSKOVA,GÜÇLÜ,VOLGA,BALE,BOLŞEVİK|Rusya
EKİP,TAKIM,KABİLE,AŞİRET,TOPLULUK,MÜFREZE,AİLE|Bir grup insan
SONAR,BAHRİYE,SESSİZ,DERİNLİK,BASINÇ,TORPİDO,DALIŞ,PERİSKOP|Denizaltı
PİZZA,KURABİYE,LAHMACUN,YUFKA,BAZLAMA,SİMİT|Yuvarlak, düz & yenebilir
ÖĞRETME,OKUL,OKUMAK,ÖĞRENME,ÖĞRENCİ,ÖĞRETMEN,YETİŞME,GELİŞME|Eğitim
EHLİYET,PARA,FOTOĞRAF,KART,BİLET|Cüzdanda bulunur
ANATOMİ,SİNDİRİM,BESİN,ASİT,KARIN,ÖĞÜTME,KORUYUCU|Mide
DİYET,BESLENME,YOGA,EGZERSİZ,SEVGİ,UYKU,HİJYEN|Sağlık
UÇAK,LOTO,TİYATRO,KONSER,STADYUM,METRO,SİNEMA,SİRK,OPERA|Bilet gerektirir
YASAKLAR,MASKE,AŞI,VİRÜS,HASTALIK,SALGIN,PANDEMİ,ÇİN|Covid 19
ASYA,AVRUPA,YARIMADA,KIRMIZI,BEYAZ,KÖPRÜ,ANADOLU,TRAKYA|Türkiye
MESELE,METRE,MERDİVEN,SÖZLEŞME,TUZLUK,SÜRE,ELİNİ,KABLO|Uzatılır
İSTASYON,ANTEN,PROGRAM,DALGA,FREKANS,MÜZİK,AKTİF|Radyo
KASİYER,KASAP,KUAFÖR,KONSOLOS,KOMEDYEN,KAPICI,KAHYA,KAPTAN,KAYMAKAM|K... (meslekler)
MAREŞAL,BAŞBAKAN,REKTÖR,CEO,ŞANSÖLYE,KRAL,KRALİÇE|Üst düzey yönetici
YIKAMA,CERRAHI,SAPI,TÜMÖRÜ,HÜCRESİ,DOKUSU,ÖLÜMÜ,KANAMASI|Beyin ...
DOKTOR,SANTRAL,KEPÇE,FORKLİFT,TORNA,VİNÇ|Operator aranıyor
ÖĞRETME,KORUMA,DESTEK,SEVME,OYNAMA,DİNLEME,DÖVME|Babalar yapar
OKSİJEN,AZOT,HİDROJEN,NEON,HELYUM,OTOGAZ,DOĞALGAZ,METAN|Gaz
SAMSUNG,APPLE,HUAWEI,SONY,OPPO,GOOGLE,LENOVO,MOTOROLA|Telefon markaları
EBE,PRENSES,HEMŞİRE,HAMİLE,SEKRETER,MAKYÖZ,DANSÖZ,ANNE|Kadın
YARIŞMA,ACUN,AÇLIK,ŞAMPİYON,ELEME,ÖDÜL,PARKUR,DOMİNİK,MÜCADELE,DOĞA|Survivor
OKEY,PUSULA,SAAT,BENZİN,HARARET,DEVİR,DERİNLİK,BASINÇ|Gösterge
PASAPORT,KREDİ,PATENT,VİZE,BURS,YARIŞMA|Başvuru gerektirir
BEBEKLİK,ÇOCUKLUK,ERGENLİK,GENÇLİK,ORTAYAŞ,YAŞLILIK|Hayat aşamaları
KASET,MÜZİK,RADYO,KULAKLIK,PORTATİF,SONY,DİNLEME|Walkman
BOA,PİTON,ENGEREK,ANAKONDA,MAMBA|Yılan türleri
FİL,BALİNA,MORS,GERGEDAN,DEVEKUŞU,ZÜRAFA|Ağır-sıklet hayvanlar
NINTENDO,PLATFORM,BORU,OYUN,PRENSES,MANTAR,PARA,YARATIK|Super Mario
LOBİ,SAUNA,HAMAM,FİTNESS,HAVUZ,SUİT,RESTORAN|Otel
BELALIM,KÜÇÜĞÜM,KAVAKLAR,TUTUKLU,FİRUZE,ŞİNANAY,GÜLÜMSE|Sezen Aksu şarkıları
EGZERSİZ,SAĞLIK,DİYET,KALORİ,HEDEF,BASKÜL,BOZMAK|Kilo verme
ÇUKUROVA,TOPRAK,KUMAŞ,ÇIRÇIR,YUMUŞAK,KEDİ,İPLİK|Pamuk
BUZLU,KRİSTAL,KIRILGAN,AYNA,SAYDAM,VİTRAY,PRİZMA,ELMAS|Cam
EMNİYET,KIYI,GÜVENLİK,BAĞIRSAK,FİLM,ETİKET|... şeridi
MAMA,TASMA,KAFES,OYUNCAK,AKVARYUM,KULÜBE,FIRÇA|Pet shop
ŞUBAT,ONDÖRT,HEDİYE,KUTLAMA,VALENTİN,AZİZ,BATI|Sevgililer günü
TUĞLA,SANDALYE,BALYA,YUFKA,BANKNOT,TABAK,KASA|Üst üste konur
DUVAR,NEHİR,ENERJİ,SANTRAL,SULAMA,ENGEL,ELEKTRİK|Baraj
CEPHE,MİNİBÜS,BORU,FAY,TELEFON,METRO,DESTEK,HABER|... hattı
DOĞAL,SUNİ,TÜRKSAT,YÖRÜNGE,İLETİŞİM,CASUSLUK|Uydu
HAKİM,PATRON,POLİS,HAKEM,BABA,ÖĞRETMEN,KOMUTAN|Otoriteme uy!
LALE,BİSİKLET,DEĞİRMEN,PEYNİR,KANAL,TURUNCU|Hollanda
DEM,TAHTAYA,KAZMA,ONİKİDEN,BAŞ,DİBE,İĞNE,KİLİT,AŞI|... vurmak
OTOBÜS,ÖĞRENCİ,MÜZE,TİYATRO,PİKNİK,LUNAPARK,ÖĞRETMEN|Okul gezisi
AYASOFYA,BOĞAZ,TOPKAPI,ORTAKÖY,GALATA,BEYOĞLU,EMİNÖNÜ|İstanbul'da bir turist
TÜFEK,LAMBA,DÜRBÜN,KÖPEK,HARİTA,PUSULA,KAMUFLAJ,ABDULLAH|Avcı
RENK,KIVRIM,YAĞMUR,IŞIK,KIRILMA,GÖKYÜZÜ,DAMLACIK,SPEKTRUM|Gökkuşağı
HOROZ,ALARM,TANYERİ,GÜNAYDIN,KAHVALTI,GAZETE,NAMAZ|Sabah
TABURE,BARMEN,MÜZİK,MUHABBET,ÇEREZ,ŞİŞE,FIÇI,İÇECEK,YİYECEK,HESAP|Şu an bardayım
AKADEMİ,LİSE,KOLEJ,MÜZE,OKUL,KREŞ,DERSHANE,KURS|Eğitim yeri
KONU,KARAKTER,ZAMAN,MEKAN,ANLATIM,DİL,HEYECAN|Hikaye
JAPON,DEMİREL,ASYA,AVRUPA,ÇELİK,GİŞE,ASMA,İSTANBUL,BİRİNCİ|Boğaziçi köprüsü
DİYAGNOZ,AMELİYAT,KISIR,MUAYENE,KIRPMA,AŞI|Veteriner yapar
LAVABO,ŞAMPUAN,SABUN,KÜVET,HAVLU,AYNA,JİLET,DUŞ,MUSLUK|Banyoda olur
TAMBUR,PROGRAM,SIKMA,DETERJAN,UZUN,KISA,HASSAS|Çamaşır makinesi
GEOMETRİ,BERMUDA,PİSAGOR,EŞKENAR,PİRAMİT,AŞK,ŞEKİL|Üçgen
ONARIM,DEĞİŞİM,TEST,SERVİS,BAKIM,AYAR,İNCELEME|Tamirciler yapar
ELEKTRİK,DEVRE,SİGORTA,OTOMATİK,KORUMA,AÇMA,KAPAMA|Şalter
EKONOMİ,TURİST,SEYAHAT,GEZMEK,DİNLENME,DENİZ,KUM,GÜNEŞ|Turizm
BOĞMACA,KIZAMIK,DİFTERİ,SUÇİÇEĞİ,HEPATİT,KORONA,KUDUZ,KOLERA|... aşısı
KADİFE,İPEK,SENTETİK,PAMUKLU,KETEN,SATEN,KEŞMİR|Kumaş türleri
HAKİM,SAVCI,AVUKAT,SANIK,ŞAHİT,MÜBAŞİR,DELİL,DURUŞMA,CELSE,KARAR|Mahkeme
MÜTTEFİK,AVRUPA,SANAYİ,TÜRKLER,DUVAR,NATO,BERLİN,ARABA|Almanya
CASPER,GÖRÜNMEZ,DOĞAÜSTÜ,GİZEM,KORKU,SOYUT|Hayalet
DİNİ,SAYGI,YAPI,KİTAP,SEVİLEN,KORUNAN,TANRISAL,YÜCE,DEĞERLİ|Kutsal
KABA,NAHOŞ,KÜSTAH,DÜZEYSİZ,DENSİZ,AHLAKSIZ,EDEPSİZ,ARSIZ,KALLEŞ|Kötü davranan
DÜZEN,YAPTIRIM,KURAL,YASA,ADALET,BİLİM,FAKÜLTE,SİSTEM|Hukuk
KAPSÜL,ROKET,FIRLATMA,ARAÇ,YÖRÜNGE,OKSİJEN|Uzay seyahati
İSİM,SOYİSİM,FOTOĞRAF,CİNSİYET,UYRUK,ÇİP|TC kimlik kartı
GENERAL,KIRMIZI,RÜTBE,GENEL,ASKERLİK,SINAV,EĞİTİM,AKADEMİ|Kurmay
ÇOCUĞA,FALA,ELİNE,YAN,HASTAYA,AYNAYA,GÜZELE,TELEFONA,UMUTLA|... bakmak
RUHSAT,PASAPORT,KİMLİK,TAPU,VEKALET,SENET,VASİYET,REÇETE|Önemli dokümanlar
ARSENİK,PLATİN,KURŞUN,URANYUM,ALTIN,CİVA,KADMİYUM|Ağır metaller
EKMEK,MANGAL,KANGAL,KIZARTMA,TOST,YUMURTA,BANMAK|Sucuk
BASAMAK,YOL,İTFAİYE,YÜRÜYEN,ÇIKMAK,İNMEK,DİZİ|Merdiven
KREMA,MEYVE,KEK,ÇİKOLATA,KAKAO,FRAMBUAZ,ÇİLEK,VİŞNE,MUM,DİLİM|Pasta
YAKA,TÜRKİYE,ASYA,ANKARA,KAYSERİ,İZMİR,MALATYA,KONYA|Anadolu
SOKAKLAR,KAPI,BAHÇE,PLAN,KOLTUK,KAPAK,SIRA|Arka ...
TAVSİYE,REÇETE,MUAYENE,TANSİYON,DİNLEME,CHECKUP,İLAÇ|Doktor randevum var
MAKİNE,BASİT,SİLİNDİR,İPLİK,ŞERİT,KAYIŞ,SARMAK,BOBİN,MEKANİK|Makara
MÜHENDİS,VİNÇ,İŞÇİ,USTA,KOLON,KİRİŞ,RUHSAT,ÇİMENTO|İnşaat
TROPİKAL,BREZİLYA,HAVZA,NEHİR,PERU,ORMAN,SİTE|Amazon
RIXOS,HILTON,SHERATON,DEDEMAN,VOYAGE,MARRIOTT|Boş odanız var mı?
AKÜ,DEBRİYAJ,FREN,RADYATÖR,VİTES,KAYIŞ,DİNGİL|Araba parçaları
TEMA,MİLLİ,İSTANBUL,KUĞULU,MEDİKAL,JURASSIC|... park
ÖĞRETMEN,BESLENME,ÇANTA,ÖDEV,SERVİS,ÖNLÜK,DEFTER,KİTAP,KALEM,SİLGİ|Okullar açılıyor!
YAZICI,FAKS,TELEFON,FOTOKOPİ,DOSYA,EVRAK|Ofis
RESİM,PARÇA,PATERN,ŞEKİL,EŞLEME,BAĞLANTI,KARTON|Yapboz
VATAN,SAĞLIK,BAYANLAR,GÜVENLİK,YAYALAR,SEN|Önce ...
YÜRÜMEK,KOŞMAK,YARIŞMAK,TAŞIMAK,OTLAMAK,KİŞNEMEK|Atlar yapar
SAMSUN,MİLLİ,MÜCADELE,VAPUR,BANDIRMA,ATATÜRK|19 Mayıs
KALECİ,BOKSÖR,SİHİRBAZ,KAYAKÇI,CERRAH,İŞÇİ,ÜŞÜYEN|Eldiven giyerler
BEYAZ,DENİZLİ,TURİSTİK,OTOBÜS,TERMAL,JEOLOJİ,ŞİFA|Pamukkale
MALEZYA,JAPONYA,TAYLAND,ÇİN,VİETNAM,PAKİSTAN,RUSYA|Asya ülkeleri
BİSİKLET,ASANSÖR,KAPI,TRAMVAY,BELBOY,TELEFON|Dinggg!
YASEMİN,ŞERİFE,SERENAY,MUAZZEZ,FERİDE,PERİHAN,NİLÜFER,GÜZİDE,AYŞENUR|3 heceli kızlar
SAHNE,IŞIK,ASSOLİST,DANSÖZ,GARSON,KOMİ,KULİS,MUTFAK|Gazino
VİDEO,KANAL,LİSTE,GÖRÜNTÜ,BİLDİRİM,PAYLAŞ,BEĞEN,YAYIN|Youtube
SÖZÜNÜ,DİLİNİ,NEFESİNİ,ELİMİ,DİLEK|... tut
KİTAP,DAVETİYE,BELGE,MAKİNE,İŞYERİ,DİZGİ,BASKI,ÇİN,OFSET|Matbaa
KALE,ELEKTRİK,BAYRAK,EVİMİZİN,YELKEN,TELEFON|... direği
DANS,SAMBA,MÜZİK,KOSTÜM,FESTİVAL,RENKLİ,TURİZM,EĞLENCE|Rio Karnavalı
CEKET,PANTOLON,KAZAK,GÖMLEK,ELBİSE,KABAN,KRAVAT|Gardrop içeriği
MANİSA,FAYDALI,BAHARAT,ŞEKER,ENERJİ,ŞİFA,FESTİVAL,MEŞHUR,DAĞITMAK|Mesir macunu
ZEBRA,ÜNİFORMA,PİJAMA,BAYRAK,KAPLAN,ASKER,KARAYOLU|Çizgili olur
DÜĞÜN,SPOR,TOPLANTI,KEBAP,OYUN,KONGRE,GÜZELLİK,KONSER|... salonu
BİRİNCİ,İKİNCİ,ÜÇÜNCÜ,ORTA,HABABAM,HAZIRLIK|Sınıf
NEPAL,PAKİSTAN,ÇİN,EVEREST,SIRADAĞ,YÜKSEK,ZİRVE|Himalayalar
KABAK,PATLICAN,BİBER,PATATES,KROKET,TAVUK,KÖFTE,MÜCVER,BALIK|Kızartma
AÇI,SICAKLIK,DÜZEY,DOKTORA,LİSANS,DİPLOMA,AKADEMİ|Derece
PEŞİN,DEPOZİTO,MÜLK,KİRALIK,SATILIK,ALICI,SATICI,VERGİ,TAPU,PAFTA|Emlak
BOĞULMA,PASLANMA,BOZULMA,ISLANMA,YEŞERME,TAŞKIN,SEL|Su sebep olur
SABUN,DURULAMA,OVALAMA,BİLEKLER,MİKROP,VİRÜS,TEMİZLİK|El yıkama
GÖRÜŞÜ,ELBİSESİ,LAMBASI,BEKÇİSİ,MAVİSİ,HAYATI,KÖRLÜĞÜ|Gece ...
MÜCADELE,RAKİP,MUKAYESE,GEÇME,YENİLME,KAZANMA,ÖDÜL|Yarışma
SİYASET,KONSOLOS,TEMSİL,NOTA,CASUSLUK,HARİCİYE|Büyükelçilik
MÜŞTERİ,SAYMAN,VEZNEDAR,PATRON,SİGORTA,PİYANGO,ATM,BES|Ödeme yapar
PARA,TRANSFER,BANKA,ALICI,GEÇİRMEK,ATEŞ,YÜKSEK,HASTA,BEBEK|Havale
CAMİ,KİLİSE,HAVRA,DERGAH,TAPINAK,KATEDRAL,BAZİLİKA,MANASTIR|Dini yapılar
YAZI,ÇEMEN,KURUTMA,KAYSERİ,BAHARAT,EKİM,KASIM,SIĞIR,MANDA|Pastırma
WHATSAPP,FACEBOOK,GMAIL,OYUN,TAKVİM,HARİTA|Akıllı telefon iyidir
KABA,MERAKLI,DİKKATLİ,TEDİRGİN,İYİ,NAZİK,SAMİMİ,KATI,MÜTEVAZİ|Davranış şekilleri
BALIK,KUŞ,AMFİBİ,SÜRÜNGEN,KEMİRGEN,MEMELİ,İNSAN|Omurgalılar
SİLAH,REAKTÖR,ENERJİ,FELAKET,BÖLÜNME,KİMYA,ATIK,TIP,TESİS,ANLAŞMA|Nükleer ...
BOĞA,MATADOR,SİESTA,FLAMENKO,PİCASSO,FUTBOL,AKDENİZ|İspanya
İÇECEK,DERECE,TEMİZLİK,KOLONYA,BAR,KİMYA,SARHOŞ|Alkol
TURİZM,OTEL,PORTAKAL,ALANYA,AKDENİZ|Antalya
PRİZMA,PARALEL,KONİ,YARIÇAP,ÜÇGEN,DAİRE,ALAN,AÇI,DERECE,NOKTA|Geometri
MAKİNİST,RAY,İSTASYON,HIZLI,PULMAN,VAGON,ELEKTRİK,BUHAR|Tren
PATLAMA,GÖSTERİ,DUMAN,RENKLER,KIVILCIM,ETKİNLİK|Havai fişek
FAALİYET,OTEL,GİRİŞ,BOŞLUK,SAVUNMA,ANLATMA,İKNA,SİYASET,TEMSİLCİ|Lobi
LASVEGAS,RULET,POKER,MAKİNE,KRUPİYE,PARA,KAZANMA,KAYBETME,İÇKİ,GÜVENLİK|Kumarhane
PADİŞAH,SULTAN,ŞEHZADE,CARİYE,VEZİR,MUHAFIZ|Bir Osmanlı sarayı
YANARDAĞ,MISIR,DİNAMİT,ŞEKER,ÖFKE,SATIŞ,LASTİK,DİKİŞ,ÇANAK,ÇÖMLEK|Patlayan şeyler
