3
CAT,DOG|Pets
MILITARY,GAS,WATER,FISH,OXYGEN,THINK|Tank
SINK,FAUCET,SHAMPOO,SOAP,BATH,TOWEL,MIRROR,RAZOR|In the bathroom
KNIFE,BOWL,FORK,GLASS,NAPKIN,SPOON,SALT,PLATE|Set the table
GRAPES,FLOWERS,BANANAS,BALONEY,BALLOONS|A bunch of ...
ANTIQUES,COINS,STAMPS,COMICS,CARDS|Commonly collected
UNITE,MERGE,FUSE,SOLDER,COMBINE,WELD,CONNECT,BOND|Join it together
GIRAFFE,ZEBRA,ELEPHANT,HIPPO,RHINO,CHEETAH,LION|Safari
CLOWN,JUGGLER,ELEPHANT,TIGER,TRAPEZE,BIGTOP,ACROBAT|At the circus
JURASSIC,THEME,SOUTH,NATIONAL,PARALLEL|... park
ROULETTE,CRAPS,POKER,SLOTS,CROUPIER,BACCARAT,ODDS|At the casino
TOILET,WALL,NEWS,SAND,RICE,WRAPPING,RESEARCH,TRACING|Types of paper
ZIP,MORSE,BAR,SOURCE,PROMO,POST,GENETIC,DAVINCI,AREA|... code
FIGHTER,SALE,HYDRANT,ENGINE,ESCAPE,PLACE|Fire
FRIEND,CITIZEN,BATTLE,SPACE,FELLOW,CENSOR,RELATION|...ship
CALL,COMBAT,QUARTERS,SHAVE,KNIT,FRIEND|Close ...
BREATH,WATER,SLEEP,SPACE,FREEZE,FRIED,TISSUE|Deep
BALCONY,APRON,HOUSE,OFFSTAGE,THRUST|Theater locations
CHAIR,DECK,WHEEL,EASY,ROCKING,ARM,ELECTRIC,HIGH,BARBER|... chair
BACON,PORRIDGE,JUICE,TOAST,CEREAL,COFFEE,PANCAKES,TEA|Breakfast
MAGAZINE,NOVEL,ARTICLE,JOURNAL,LABEL,REPORT,BLOG|Things you read
LEGS,BOUNDARY,LINE,STREET,EYES,FINGERS,ARMS,BRIDGE,HEART|Things you can cross
TICK,MATCH,BLACK,SAND,SHOE,CHATTER,JUKE,BALLOT,LITTER,BOOM|... box
ROSES,TWELVE,EGGS,DONUTS,BAKERS|Dozen
WATER,CHILD,FIRE,FOOL,SOUND,SHOCK,BULLET|... proof
KEYBOARD,JOYSTICK,PRINTER,MONITOR,SCANNER,CAMERA,MOUSE,SPEAKERS|Computer peripherals
GLOVES,HELMET,GOGGLES,MASK,EARMUFFS,BOOTS,SEATBELT|Worn for safety
PUZZLE,ACROSS,DOWN,CRYPTIC,CLUE,GRID|Crossword
GLUTTONY,PRIDE,SLOTH,LUST,WRATH,GREED,ENVY|7 deadly sins
KETCHUP,BLOOD,GREASE,MUD,GRASS,WINE,COFFEE,PAINT|Stubborn stains
FEVER,BACKACHE,HEADACHE,CHILLS,EARACHE,COUGH|Get well soon!
PLAYING,BIRTHDAY,TAROT,CREDIT,BUSINESS,DEBIT,HOLIDAY,CALLING|... card
TEAM,SQUAD,BAND,CAST,STAFF,TROUPE,CREW,COMPANY|They work together
LAUGH,SIDE,MUSIC,LOSE,FAST,RAILWAY,RACE,SOUND|... track
CHIEF,TAKE,SPELL,MATCH,BEHAVE,FIRE,DIRECT|Mis...
APERTURE,FLASH,ZOOM,MACRO,FOCUS,DIFFUSE,SHUTTER|Photography
EINSTEIN,TESLA,EDISON,HAWKING,DARWIN,HUBBLE|Famous scientists
KARAT,DIGGER,MINE,MEDAL,FOOLS,NUGGET,BULLION|Gold
ECSTATIC,GLAD,JUBILANT,PLEASED,CHEERFUL|Happy
FLANK,SHANK,CHUCK,RIB,SIRLOIN,BRISKET,ROUND|Cuts of meat
GREECE,SWEDEN,NORWAY,POLAND,BELGIUM,GERMANY,FRANCE,SPAIN,ITALY,HOLLAND|Countries of Europe
COCKTAIL,GOWN,EVENING,FROCK,WEDDING|Dress
PARTICLE,FORCE,MATTER,MOTION,QUANTUM,ENERGY,NUCLEAR|Physics
CLASS,KEY,PIECE,PLAN,MIND,CARD,BEDROOM|Master ...
PIGTAILS,BRAID,MULLET,COMBOVER,AFRO,BOUFFANT,BEEHIVE,MOHAWK|Hairstyle
WICKER,PICNIC,LAUNDRY,CASE,SHOPPING|Basket
CHALK,CARD,SNOW,NOTICE,SURF,CHECKER,WHITE,SKATE|Board
WRINKLES,CANE,SENIOR,WISDOM,GRAYHAIR,PENSION|Growing older
VOCAL,GECKO,FOCUS,UNCLE,MUSCLES,CHICKEN,CONCERT,DANCING|Middle C
BUNDLE,STACK,COLLECT,CLUMP,PILE,STASH,HEAP,BUNCH|Bring it together
CARPET,WIZARD,TRICK,SPELL,WAND,ILLUSION,POTION|Magic
LEG,STRINGS,PORK,RANK,TRIGGER,TRAILER,PRANK|Pulled
MALAYSIA,JAPAN,THAILAND,CHINA,INDIA,VIETNAM,PAKISTAN|Asian countries
OYSTER,SALMON,TUNA,LOBSTER,SHRIMP,CALAMARI,CRAB|Seafood
MOLAR,BABY,FALSE,FANG,GRIND,INCISOR,CHOMPER|Teeth
MOUNTAIN,ROPE,STAIRS,LADDER,ROCK,TREE|Can be climbed
ROMEO,HAMLET,LEAR,MACBETH,OTHELLO|Shakespeare
TORTILLA,BURRITO,JALAPENO,TACO,BEANS|Mexican cuisine
SAUCE,KETCHUP,OLIVE,MUSTARD,CATSUP,SALT,PEPPER,RELISH|Condiments
ERUPTION,ASH,DORMANT,LAVA,CRATER,MAGMA|Volcano
FLOWERS,POETRY,SUNSET,SERENADE,CANDLES|So romantic
EMERALD,FROG,ENERGY,ENVY,THUMB,PUTTING|Green
OCEAN,EARTH,PEAK,LAKE,DESERT,BEACH,STREAM,FOREST|Landscapes
DANCE,SAMBA,MUSIC,COSTUME,FESTIVAL,PARADE|Rio Carnival
MATTRESS,COIL,FLOWERS,SEASON,BOUNCE,SLINKY|Spring
REBUILD,REPAIR,TEST,REPLACE,SERVICE,MAINTAIN,INSPECT,TUNEUP|Mechanics do it
BAND,FESTIVAL,MUSIC,STAGE,LIGHTS,CROWD,SINGER|Concert
NEEDLE,INK,SKIN,DESIGN,SLEEVE,PIGMENT|Tattoo
AWAY,UPON,SHARP,AFTER,AHEAD,BACK,DOWN,INTO,OUT|Look ...
ABORT,GRAB,RELEASE,HOLD,DECLINE,DROP,ABANDON,GRASP,SNATCH|Take it or leave it
SENSE,PEACE,HASTE,FRIENDS,HAY,OVER,BELIEVE,LOVE,HISTORY,EXCUSES|Make ...
COMEDIAN,COMIC,JESTER,CLOWN,JOKER|Funny people
WORD,ANGRY,BONES,CRUCIFIX,SECTION,FINGERS,DRESS|Cross
HAND,SPOON,BREAST,BOTTLE,LIVE,NEWS,GRAVITY,FORCE|... feed
ROOSTER,RAM,STALLION,BULL,STAG,BOAR,DRAKE|Male animals
ZEBRA,UNIFORM,FLAG,TIGER,CONVICT,CROSSING,SOLDIER|Things with stripes
FREEZING,WARM,BOILING,COOL,SUBZERO|Hot & cold
CLAYMORE,SCIMITAR,CUTLASS,RAPIER,SABRE|Swords
ENGLAND,SCOTLAND,WALES,FOOTBALL,MONARCH,PALACE,BIGBEN,LONDON|Great Britain
COLOR,ARC,SPECTRUM,SUNLIGHT,DROPLETS,SKY|Rainbow
PILLOW,WATER,FIST,FOOD,SNOWBALL,STREET|... fight
EVACUATE,CAMP,RESCUE,GUNNER,FORT,WARFARE|Military
PERFUME,STEAK,MAKEUP,EXERCISE,WORK,EATING,ACTING|Don't overdo it
ROMANS,LUKE,MARK,MATTHEW,JOHN,HEBREWS|New Testament
BROOK,POND,LOCH,LAGOON,STREAM,OCEAN,GULF,SEA,RIVER|Body of water
PLAYDEAD,SIT,ROLLOVER,COME,SHAKE,STAY,FETCH|Train your dog
FARADAY,TESLA,EINSTEIN,HAWKING,NEWTON|Famous physicists
NEUTRON,PROTON,ELECTRON,QUARK,NUCLEUS|Atom
SOUTHERN,INDIAN,ATLANTIC,PACIFIC,ARCTIC|Oceans
PRESSURE,VALVE,FLAT,TREAD,RUBBER,BALANCE,INFLATE|Tires
FLOOD,EBB,AMPERE,FLOW,RIVER,NOW,PRESENT|Current
PATIENCE,LOVE,TRUST,WISDOM,CARE,RESPECT|Our mother
ELEPHANT,WHALE,WALRUS,HIPPO,RHINO|Animals heavyweights
BARREN,SAND,DESERT,DESOLATE,ARID|Dune
DROWN,SPLASH,BOIL,DILUTE,DRIP,SOAK,HYDRATE,GUSH|Water does it
POLICE,SLED,GUARD,RESCUE,GUIDE,HERDING,SNIFFER|Working dogs
TULIPS,BICYCLE,WINDMILL,CLOGS,ORANGE,CANAL|Dutch
RINGTONE,NETWORK,CELLULAR,MESSAGE,SIMCARD,BATTERY,COVERAGE|Mobile phone
BURN,SMOLDER,HEAT,CRACKLE,COOK,LIGHT,SMOKE|Fire does it
ELEMENT,BOND,COMPOUND,ATOM,MOLECULE,REACTION|Chemistry
STOMACH,LADY,FIRE,STINK,TRAVEL,SOFTWARE|... bug
BEETLE,RED,ANTENNAE,WINGS,SPOTS,INSECT,BLACK|Ladybug
AIRPLANE,BUS,TRUCK,CAR,TRAIN,BOAT,TAXI|Get there by ...
MOUNTAIN,FREE,DRIVING,VOCAL,SHOOTING|Range
FILAMENT,LED,EDISON,BRIGHT,WATT,TUNGSTEN|Light bulb
TROPICAL,BRAZIL,BASIN,RIVER,PERU,JUNGLE,BEZOS|Amazon
FEATHERS,WOOL,PELT,SCALES,FUR,SHELL,HAIR|Body coverings
FIRE,HOUSE,DRAGON,HORSE,BUTTER|... fly
OINTMENT,DROPS,TABLET,CAPSULE,PATCH,LOTION|Medication types
MUSICIAN,USHER,MAKEUP,WARDROBE,ACTOR,LIGHTING,COMPOSER,DIRECTOR|Stage jobs
DIAGNOSE,SPAY,EXAMINE,NEUTER,SURGERY|Veterinarians do it
PINK,DARLING,GIFT,CHERUB,DOVES,POEM,CUPID,SAINT,FEBRUARY|Valentine's Day
PERFUME,STEM,PETAL,POLLEN,BUD,BLOSSOM,BOUQUET|Flower
DETONATE,BANG,DYNAMITE,SMOKE,BLAST|Explosion
BUT,WHETHER,UNTIL,UNLESS,ONCE,YET,ALTHOUGH|Conjunctions
KINDLING,TINDER,FUEL,SPARK,OXYGEN,FLINT|Build a fire
ORANGE,LEMON,LIME,MANDARIN,BERGAMOT|Citrus
HUNDRED,BILLION,THOUSAND,MILLION|Large numbers
FEW,NUMEROUS,ANY,SEVERAL,NONE,EVERY,SOME,ALL,EACH,MANY|Quantity
BUN,KETCHUP,TOMATO,PATTY,LETTUCE,ONION|hamburger
NEST,FEATHER,FLOCK,PLUMAGE,EGG,ROOST|Bird
HOUND,MONEY,BROTHER,LUST,LINE,ORANGE,TYPE|Blood ...
TEACHER,LUNCHBOX,BACKPACK,HOMEWORK,SHUTTLE|Back to school
TEENAGER,BABY,SENIOR,ADULT,CHILD|Life stages
EYE,FRECKLES,EAR,TEMPLE,TOOTH,NOSE,MOUTH|Head
BRIDLE,SADDLE,RACE,MANURE,SHOE,DRESSAGE|Horse
BACKPACK,PURSE,SATCHEL,SUITCASE,LUGGAGE|Pack your bags!
ALTITUDE,PEAK,SLOPE,RANGE,SUMMIT,CLIMB|Mountain
MERCURY,MARS,NEPTUNE,VENUS,JUPITER,SATURN,EARTH,URANUS|Planets
METER,MILE,YARD,MICRON,INCH,LEAGUE,FOOT|Units of distance
TABBYCAT,ZEBRA,SKUNK,TIGER,BADGER|Striped animals
NEGATIVE,RAY,INVERSE,AREA,RADIAN,LINEAR,CURVE|Maths
HERITAGE,CUP,CLASS,RECORD,WAR,WIDE|World ...
SQUIRREL,BAT,CHIPMUNK,HAMSTER,BEAR,SKUNK,HEDGEHOG,WINDOWS|It hibernates
GALLOP,TROT,RACE,CANTER,BUCK,PRANCE,NEIGH,GRAZE|Horses do it
BAMMBAMM,DINO,PEBBLES,FRED,WILMA,BETTY,BARNEY|The Flintstones
PIPE,HAIR,SIDE,TIME,OFF,LAND,HEAD,DEAD,LIFE,BLOOD,WAIST|... line
RESEARCH,SPACE,SHUTTLE,ROCKET,SCIENCE,PLANETS,EXPLORE|NASA
PARK,POOPBAG,COLLAR,LEASH,BALL,FETCH|Walk the dog
WHATSAPP,FACEBOOK,GMAIL,GAMES,CALENDAR,MAPS|Smartphones are useful
CAPSULE,ROCKET,LAUNCH,SHUTTLE,ORBIT,BOOSTER,GRAVITY|Space travel
POLITICS,ARTS,SPORTS,HEALTH,WEATHER|In the news
TENNIS,JUSTICE,JURY,JUDGE,LAWYER,SUPREME|Court
TROWEL,DRILL,LADDER,CONCRETE,TRUCK,LUMBER,HARDHAT|Construction site
THIGH,SHIN,CALF,FOOT,ANKLE,PANTS,KNEE,HEEL|On your legs
YORK,DELHI,ZEALAND,ORLEANS,GUINEA,MEXICO,ENGLAND,JERSEY|"New" places
WAXWING,PEACOCK,TANAGER,COCKATOO,FEATHER,MIGRATE,QUAIL|Birds
MONTAGE,BOUQUET,LINGERIE,DEJAVU,SABOTAGE,RAPPORT,CABARET,CHIC,ELITE,MENU,SOUFFLE|Adopted french
VACATION,BREAK,HOLIDAY,LEAVE|Time off
POWER,HUNT,HOLE,EATER,MADE,HOOD,KIND|Man ...
ALGEBRA,BIOLOGY,MEDICINE,GERMAN,GEOMETRY,LAW,MUSIC|School subjects
UNDER,NEW,STONE,OLD,BRONZE,ICE,SPACE,IRON|... age
SLITHER,HOP,WADDLE,CRAWL,PADDLE,LEAP,BOUND,WRIGGLE,POUNCE,GALLOP|Move like an animal
COVERAGE,BENEFITS,RISK,POLICY,PREMIUM,LOSSES,QUOTE|Insurance jargon
PANCREAS,STOMACH,SPLEEN,KIDNEYS,COLON|Organs
DYNASTY,THRONE,CROWN,RULE,MONARCH,KING,QUEEN,REIGN,HEIR|Your majesty
RAMPAGE,SCREAM,FUME,CURSE,SEETHE,FLIP,RANT|Angry people do it
PURR,FUNNY,SCRATCH,MILK,GROOM,SLEEP,RUBBING,PLAYING,PREY|Cats
BISCOTTI,PIZZA,TIRAMISU,RISOTTO,LASAGNE|Italian cuisine
FISH,REPTILE,MAMMAL,RODENT,PRIMATE,BIRD|Vertabrates
ATTITUDE,MIND,CLOTHES,OIL,OPINION,TIRE,TUNE|Change your ...
ALLOW,CONSENT,LICENSE,GRANT,BLESSING|Yes you can
COSTUME,BIRTHDAY,FRAT,DINNER,HOUSE,POOL,BLOCK,SLUMBER|... party
BEAM,FLOOR,BARS,CHALK,GRIPS,BLISTERS,VAULT,TAPE|Gymnastics
WEAPON,REACTOR,ENERGY,FISSION,FUSION,DISASTER,FALLOUT|Nuclear ...
RUDE,CURIOUS,CAUTIOUS,ANXIOUS,RIGID,MODEST,KIND,POLITE,SINCERE,BOSSY|Behaviours
SOMALIA,KENYA,COLOMBIA,ECUADOR,UGANDA,BRAZIL|On the equator
VULTURE,OWL,FALCON,HAWK,RAPTOR,EAGLE,BUZZARD,KITE,OSPREY|Birds of prey
ARMENIA,SYRIA,GEORGIA,BULGARIA,IRAN,IRAQ,GREECE|Turkey's neighbours
MURDER,THRILLER,DIRECTOR,PSYCHO,VERTIGO,MOVIE,REBECCA|Alfred Hitchcock
LAWFUL,HELPFUL,HARMFUL,TEARFUL,USEFUL,AWFUL,HANDFUL|...ful
CORN,CELERY,CUCUMBER,CABBAGE,CARROT,CHILI|Vegetables: C...
YELLING,KID,MOUNTAIN,BILLY,BEARD,CHEESE,MILK,MAMMAL,HORNS|Goat
MUSHROOM,EGG,BACON,SAUSAGE,TOAST,BEANS,TEA,TOMATO|English breakfast
ACCIDENT,DETOUR,BEEP,DELAY,JAM,RUSHHOUR|Stuck in traffic
BIRTHDAY,DATE,WEEKEND,HOLIDAY,MEETING|In the calendar
HOBBY,PACK,HIGH,DARK,SEA,WAR,GIFT,ROCKING,RACE,QUARTER,DRAUGHT,CLOTHES|... horse
ICE,NIGHT,KNEE,SALARY,BOTTLE,BASEBALL,THINKING|Types of cap
EMPLOYEE,WEAPON,BAZOOKA,REVOLVER,POTTERY,CANNON|Can be fired
BEACH,CLIFF,INLET,ESTUARY,SANDBAR,TIDEPOOL|Shoreline
WOOL,MUTTON,EWE,FLOCK,BLEAT,RAM,LAMB,SHEPHERD|Sheep
DANCE,STUNT,TUMBLING,POMPOM,JUMP,SPIRIT,UNIFORM|Cheerleader
MARY,JESSICA,CECILIA,ALICE,CAROLINE,ANGELINA,GABBY,FIONA,JANE,JENNIFER|Girl names
BUNGEE,WINGSUIT,SKYDIVE,BASEJUMP|Extreme jumping
SLEEP,EXERCISE,COFFEE,VITAMINS,SHOWER|Hangover cure
BULLETS,GOLF,APPLAUSE,DRINKS|Round of ...
DELIGHT,JOY,GLEE,YAHOO,PLEASURE,AMUSING|Fun
WEREWOLF,YETI,VAMPIRE,ZOMBIE,GODZILLA,TROLL,DRACULA|Monster
SPANISH,ENGLISH,CHINESE,ARABIC,FRENCH,RUSSIAN|Languages of the U.N.
GIRDLE,PLIERS,EMBRACE,CORSET,CLOWNCAR|A tight squeeze
STUBBLE,GOATEE,BEARD,MUSTACHE,SCRUFFY|Hairy face
RAY,MULTIPLY,FACTOR,TEN,CROSS,RATED,MEN,FILES,AXIS|X
ALASKA,RUSSIA,NORWAY,ICELAND,FINLAND,CANADA|It's cold here
RACE,FINISH,WINNER,COMPLETE,SIGNAL,PATTERN|Checkered flag
COURTESY,GOODWILL,SUPPORT,PATIENCE,SYMPATHY,CHARITY|Kindness
BEDDING,LINEN,BLANKET,MIXER,CHAIR,COUCH,IRON,OVEN,FREEZER,RUG,CURTAIN|Household items
GASOLINE,FIREARM,SCISSORS,MATCHES|Prohibited on a plane
OPAL,RUBY,EMERALD,AMETHYST,PEARL,SAPPHIRE,TOPAZ,GARNET|Birthstones
WORD,ALPHABET,LANGUAGE,MEANING,SYLLABLE|Dictionary
BREEZE,CYCLONE,BLIZZARD,GALE,GUST,MISTRAL,TORNADO,SQUALL|Windy weather
WAY,MARINE,SIDE,JECT,MERGE,STENCE,GROUP,TITLE,WOOFER,ATOMIC,LIME|Sub...
CONCRETE,GLASS,GRANITE,LAMINATE,MARBLE,QUARTZ,WOOD|Countertop
USA,ENGLAND,RUSSIA,FRANCE,CHINA,INDIA,PAKISTAN|Nuclear countries
CURTAIN,MIRROR,LANTERN,TEN,PAINTING,COAT|Things you can hang
CHER,RIHANNA,STING,BONO,MADONNA,PRINCE,BEYONCE,SHAKIRA|One-namers
BECAUSE,SINCE,ALTHOUGH,DESPITE,HOWEVER,MOREOVER|Connecting words
MINUTE,REFUSE,TEAR,WOUND,LEAD,BASS,ENTRANCE,SAKE,POLISH,RESUME|Pronounced two ways
BROW,RISE,HORSE,JUMP,PRESSURE,TECH,WAY,GEAR,SOCIETY,STAKES,ROLLER|High ...
CAMERA,TICKET,CHARGER,PASSPORT|Don't forget your ...
CHARITY,ALS,DONATION,NOMINATE,RESEARCH|Ice bucket challenge
FOYER,ROOM,ENTRANCE,ADVOCATE,CAMPAIGN,SOLICIT,HALL|Lobby
ELEPHANT,HIPPO,WARTHOG,NARWHAL,WALRUS|Tusks
PEN,MARKER,CHARCOAL,CRAYON,QUILL|Make your mark
SELFHELP,HOBBIES,MYSTERY,COMEDY,WESTERN,FANTASY|At the bookstore
PROPOSAL,YES,DIAMOND,KNEEL,RING,ANSWER|Down on one knee
ICECREAM,FUNERAL,BEAUTY,TATTOO,MASSAGE|Parlors
EARRINGS,BRACELET,RING,NECKLACE,PENDANT,ANKLET,ARMLET|at a jeweller
POTTERY,TAPESTRY,KNITTING,WEAVING,WOODWORK,CROCHET|Handicrafts
RUMINATE,IMAGINE,PONDER,MULLOVER,CONSIDER,REASON,FOCUS|Think it over
KEYBOARD,DING,RIBBON,PAPER,OUTDATED,CARBON|Typewriter
FRANCE,BELGIUM,CANADA,MONACO,MALI,HAITI,CONGO|French speaking
ROOF,FORK,BLACK,SALES,VOICE,ELEVATOR,BASEBALL|Pitch
BUBBLE,LAUNDRY,SUDS,SLIPPERY,BOX,CLEAN,SCUM,OPERA|Soap
ACCIDENT,CRASH,POLICE,DAMAGE,CAR,WITNESS,TRAFFIC,WRECK|Fender bender
DETONATE,DEMOLISH,SHATTER,EXPLODE,DAMAGE,LOUD,SOUND|Kaboom
COCKEYED,UNEVEN,WONKY,OBLIQUE,TILTED,LOPSIDED,ASKEW|A little crooked
BANG,SHOW,SMOKE,SAFETY,CRACKLE,ROCKET,FESTIVAL,EVENT|Fireworks
TRAVEL,HIGHWAY,MOTEL,TOLLWAY,ROUTE,GASOLINE,PETROL|Road trip
ARTEMIS,ARES,HERACLES,DEMETER,ACHILLES,MEDUSA,HECTOR,APOLLO,ATHENA,HADES|Greek mythology
EXAMINE,RESEARCH,STUDY,SEARCH,INQUIRE,FIND,DELVE,PURSUE,HUNT|Google it
SLEEPY,SNEEZY,GRUMPY,BASHFUL,HAPPY,DOC,DOPEY|Seven Dwarfs
OLYMPICS,LEAPYEAR,WORLDCUP,QUARTER,FOURTH|1 in 4
KING,BARON,PRINCE,LORD,DUKE,EMPEROR,PHARAOH,TSAR,SULTAN|Noble men
ARSENIC,PLATINUM,LEAD,URANIUM,GOLD,MERCURY,CADMIUM|Heavy metals
METAPHOR,IRONY,PUN,PARODY,ANALOGY,ALLEGORY,INNUENDO|Literary devices
GHOST,SPOOKY,BOO,COBWEB,BATS,SCARY,MYSTERY,COFFIN,SKELETON,FOOTSTEP|Haunted house
MINISTER,RIB,SUSPECT,TIME,NUMBER|Prime ...
SOCIAL,RETWEET,COMMENT,FOLLOW,HASHTAG,TRENDING,REPLY|Tweeter
NEPAL,PEAK,ALTITUDE,BASECAMP,SUMMIT|Mount Everest
HARE,FLEA,IMPALA,KANGAROO,RABBIT,CRICKET,WALLABY,FROG|Hop, skip & jump
BARRIER,CHINA,BORDER,DEFENSE,BRICK,PARAPET|The Great Wall
GLASS,POUR,SWIRL,SMELL,INSPECT,SIP,PALATE,AROMA|Wine tasting
SHOVEL,WATER,BUCKET,DIG,DECORATE,WALL,TOWER,CARVE|Build a sand castle
UNDERDOG,TOPSPIN,REINDEER,KEYWORD,ANYWHERE,KNAPSACK,HEADREST|Compound words
MINIBAR,VALET,ENSUITE,BELLHOP,CHECKOUT,BUFFET|Stay in a hotel
BALLET,RUSSIAN,THEATER,PRINCESS,CURSE,ODETTE|Swan lake
MUSLIM,RAMADAN,MUHAMMAD,QURAN,MECCA,PRAYER|Islam
SOFTWARE,CIVIL,CHEMICAL,RAILWAY|Engineers
HILTON,SHERATON,HYATT,RADISSON,MARRIOTT|Get a room
RAINBOW,REFLECT,REFRACT,LIGHT,SPECTRUM,GLASS|PRISM
CARAMEL,COOKIE,CURRY,CALAMARI,CANAPE,CUSTARD,CALZONE,CEVICHE,CHOWDER|Deli(c)ious
SCUBA,SKYDIVE,KAYAK,SAIL,SURF,BUNGEE,ZIPLINE,SKI|Adventure travelling
WRONG,WRITE,HONOR,HOUR,KNEEL,KNIFE,KNIGHT,PSALM,KNACK,PSYCHIC|Silent letter start
BEFORE,SELLER,FRIEND,WISHES,PRACTICE,MAN|Best ...
RESPECT,MEMORIAL,HOPE,HOMAGE,HONOR|Tribute
FIREWALL,MALWARE,INTERNET,HACKER,SCAM,PASSWORD,BACKUP|Cybersecurity
APNEA,AWAKE,RESTLESS,INSOMNIA,CAFFEINE|Trouble sleeping?
WAND,MAGIC,CAULDRON,CONJURE,VOODOO,CHARM,ENCHANT,BEWITCH|Cast a spell
NATURE,COUNTRY,INLAW,GOOSE,TERESA,TONGUE,HUBBARD|Mother
CAMPAIGN,CHARITY,AUCTION,SUPPORT,BENEFIT,PLEDGE|Fundraiser
LOVE,YOUTH,FAMILY,HEALTH,RESPECT,TRUST,WISDOM|Money can't buy it
SOUP,CEREAL,PUDDING,YOGURT,PARFAIT,SORBET,CUSTARD,TRIFLE|Eaten with a spoon
BASEMENT,SUMMIT,WEALTH,HOPE,HELL,HEAVEN,DESPAIR,POVERTY,VALLEY|Ups and downs













